Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC C WAREHOUSE,,,Houseware Supplies,,"Books, used, assorted",,,,,pcs,,,,,,,,146,1/20/2012,,,10,PHP,TV5,,,,for allocation
NROC C WAREHOUSE,,,Houseware Supplies,,"Brochure, Innovation 2010 Research Report",,,,,pcs,,,,,,,,50,3/8/2012,,,20,PHP,Second Harvest Japan,,,,for allocation
NROC B WAREHOUSE,,,Medical Equipment/Supplies,,"Crutch, forearm, aluminum, used (4ft)",,,,,pair,,,,,,,,1,8/10/2010,,,300,PHP,"Dubai, UAE (RN 2010-08-006)",,,,for allocation
NROC B WAREHOUSE,,,Medical Equipment/Supplies,,"Crutch, wooden, used",,,,,pair,,,,,,,,2,1/20/2012,,,50,PHP,TV5,,,,for allocation
NROC C WAREHOUSE,,,Clothings,,"Footwear, used (9pairs)",,,,,boxes,,,,,,,,1,5/17/2012,,,180,PHP,Giselle Garilva,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Aquabox and Humanitarian Aide,,,,,boxes,,,,,,,,500,4/13/2012,,,9000,PHP,Aquabox Derbyshire,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Chain, steel, asstd sizes",,,,,bags,,,,,,,,549,1/12/2009,,,,PHP,China,,,,turn over by CO
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"C-Perlin (19ft & 2.25"" x 4"" x 2"")",,,,,pcs,,,,,,,,1285,9/5/2007,,,770.54,PHP,China (RN 07-11-013,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles  25x33cm 10pcs/box - Ceramics,,,,,boxes,,,,,,,,50,10/27/2008,,,275,PHP,BOC (RN 08-10-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 10x30cm 20pcs/box - Ceramics,,,,,boxes,,,,,,,,25,10/27/2008,,,200,PHP,BOC (RN 08-10-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 10x33cm 22pcs/box - Ceramics,,,,,boxes,,,,,,,,280,10/27/2008,,,275,PHP,BOC (RN 08-10-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x20cm - Ceramics,,,,,pcs,,,,,,,,9440,10/27/2008,,,8.5,PHP,BOC (RN 08-10-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x20cm 60pcs/box - Ceramics,,,,,boxes,,,,,,,,70,10/27/2008,,,510,PHP,BOC (RN 08-10-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x30cm 40pcs/box - Ceramics,,,,,boxes,,,,,,,,33,10/27/2008,,,200,PHP,BOC (RN 08-10-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Electrical outlet,,,,,pcs,,,,,,,,150,9/5/2007,,,58.83,PHP,China (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Electrical wire 10mm,,,,,roll,,,,,,,,160,9/5/2007,,,830.8,PHP,China (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Electrical wire 16mm,,,,,roll,,,,,,,,163,9/5/2007,,,2492.42,PHP,China (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Flourescent modulator tube,,,,,pcs,,,,,,,,369,9/5/2007,,,79.87,PHP,China (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Generator, Model JD3800/E",,,,,unit,,,,,,,,59,9/25/2007,,,17517.26,PHP,China (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Glass louvre  5mmx100x1215mm ,,,,,sets,,,,,,,,1003,9/5/2007,,,599.78,PHP,China (RN 07-11-013,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Glass louvre 5mmx100x860mm,,,,,sets,,,,,,,,240,9/5/2007,,,539.52,PHP,China (RN 07-11-013,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Junction Box ,,,,,pcs,,,,,,,,200,11/16/2007,,,99,PHP,China (RN 07-12-015),,,,for allocation
NROC C WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Life Vest,,,,,pcs,,,,,,,,100,8/25/2012,,,,PHP,OCD NDRRMC,,,,
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Protective suit,,,,,pcs,,,,,,,,761,1/5/2009,,,1000,PHP,China (RN 07-06-007),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Cap, 2? ",,,,,pcs,,,,,,,,1170,11/16/2007,,,15,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Cap, 4? ",,,,,pcs,,,,,,,,1240,11/16/2007,,,40,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Coupling, 1/2? ",,,,,pcs,,,,,,,,1150,11/16/2007,,,20,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Coupling, 2? ",,,,,pcs,,,,,,,,970,11/16/2007,,,30,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Coupling, 4? ",,,,,pcs,,,,,,,,1092,11/16/2007,,,40,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 1/2? X 90 degree",,,,,pcs,,,,,,,,1000,11/16/2007,,,30,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 2? X 45 degree",,,,,pcs,,,,,,,,1060,11/16/2007,,,50,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 2? X 90 degree",,,,,pcs,,,,,,,,914,11/16/2007,,,80,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 4? X 45 degree",,,,,pcs,,,,,,,,1120,11/16/2007,,,120,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 4? X 90 degree",,,,,pcs,,,,,,,,974,11/16/2007,,,150,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Female Adaptor, 1/2? ",,,,,set,,,,,,,,1150,11/16/2007,,,15,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Holder, 1/2? ",,,,,pcs,,,,,,,,1150,11/16/2007,,,20,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Pipe, 1/2? Diameter",,,,,pcs,,,,,,,,21350,11/16/2007,,,175,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Pipe, 2? Diameter",,,,,pcs,,,,,,,,3073,11/16/2007,,,300,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Pipe, 4? Diameter ",,,,,pcs,,,,,,,,247,11/16/2007,,,400,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC TEE, 1/2? ",,,,,pcs,,,,,,,,1130,11/16/2007,,,40,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC TEE, 2? ",,,,,pcs,,,,,,,,1110,11/16/2007,,,80,PHP,China (RN 07-12-015),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"PVC TEE, 4?",,,,,pcs,,,,,,,,1100,11/16/2007,,,120,PHP,China (RN 07-12-015),,,,for allocation
