Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 2XLarge, White, Inset Sleeve, Zipper Closure, Tappered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,30,1/18/2012,5/18/2012,,8914.5,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 3XLarge, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,28,1/19/2012,5/19/2012,,9562.16,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 5XLarge, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,117,1/20/2012,5/20/2012,,11059.01,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 8 Xlarge White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,22,1/21/2012,5/21/2012,,8467.99,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Large, White, Inset Sleeve, Zipper Closure, Attached Aqua Track Boots, Elastic Hood, Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,6,1/22/2012,5/22/2012,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Large, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,6,1/23/2012,5/23/2012,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Medium, White, Inset Sleeve, Zipper Closure, Attached Aqua Track Boots, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,5,1/24/2012,5/24/2012,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Small, Blue, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,20,1/25/2012,5/25/2012,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"C-Perlin (19ft & 2.25"" x 4"" x 2"")",,,,,pcs,,,,,,,,1435,1/26/2012,5/26/2012,,770.54,PHP,China (RN 07-11-013,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"Crutch, forearm, aluminum, used (4ft)",,,,,pair,,,,,,,,1,1/27/2012,5/27/2012,,300,PHP,"Dubai, UAE (RN 2010-08-006)",,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Cups, plastic with handle regular size",,,,,pcs,,,,,,,,2852,1/28/2012,5/28/2012,,8.99,PHP,Emmaiah Mktg,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles  25x33cm 10pcs/box - Ceramics,,,,,bx,,,,,,,,50,1/29/2012,5/29/2012,,275,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 10x30cm 20pcs/box - Ceramics,,,,,bx,,,,,,,,25,1/30/2012,5/30/2012,,200,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 10x33cm 22pcs/box - Ceramics,,,,,bx,,,,,,,,280,1/31/2012,5/31/2012,,275,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x20cm - Ceramics,,,,,pcs,,,,,,,,9440,2/1/2012,6/1/2012,,8.5,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x20cm 60pcs/box - Ceramics,,,,,bx,,,,,,,,70,2/2/2012,6/2/2012,,510,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x30cm 40pcs/box - Ceramics,,,,,bx,,,,,,,,33,2/3/2012,6/3/2012,,200,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Del Monte Fresh Cut Whole KernelCorn, 420g",,,,,cans,,,,,,,,9,2/4/2012,6/4/2012,,0,PHP,ACS of the Philippines,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Del Monte Sweetened Pineapple, 1.36L",,,,,cans,,,,,,,,10,2/5/2012,6/5/2012,,0,PHP,ACS of the Philippines,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Del Monte Tidbits Pineapple, 227g",,,,,cans,,,,,,,,6,2/6/2012,6/6/2012,,0,PHP,ACS of the Philippines,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Dust mask, FOAM",,,,,pcs,,,,,,,,14900,2/7/2012,6/7/2012,,6.5,PHP,Wyler Enter,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"EASY DONNING TYVEK SLEEVE, Clean Room Whites, (50pairs/case)",,,,,cs,,,,,,,,34,2/8/2012,6/8/2012,,10288.02,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Electrical outlet,,,,,pcs,,,,,,,,300,2/9/2012,6/9/2012,,58.83,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Electrical wire 10mm,,,,,roll,,,,,,,,199,2/10/2012,6/10/2012,,830.8,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Electrical wire 16mm,,,,,roll,,,,,,,,202,2/11/2012,6/11/2012,,2492.42,PHP,China (RN 07-11-013),,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines, 5tins Corned Beef)",,,,,pck,,,,,,,,1,2/12/2012,6/12/2012,,251.99,PHP,"NFA, Maple, Columbus, Pacific",,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines,3tins Corned Beef, 6pcs Coffee)",,,,,pck,,,,,,,,253,2/13/2012,6/13/2012,,249.4,PHP,"NFA, Universal, 4H, Puregold",,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines,5tins Corned Beef, 6pcs Coffee)",,,,,pck,,,,,,,,4,2/14/2012,6/14/2012,,249.1,PHP,"NFA, Universal, Foodsphere, Puregold",,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines,5tins Corned Beef, 8pcs Coffee)",,,,,pck,,,,,,,,2752,2/15/2012,6/15/2012,,252.15,PHP,"NFA, Universal, Foodsphere, Puregold",,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Flourescent modulator tube,,,,,pcs,,,,,,,,369,2/16/2012,6/16/2012,,79.87,PHP,China (RN 07-11-013),,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Fortified Soy Protein Meal Packages, 254g",,,,,pck,,,,,,,,731,2/17/2012,6/17/2012,,50,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"FROCKS, Medium, Blue Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (30pcs/case)",,,,,cs,,,,,,,,68,2/18/2012,6/18/2012,,13382.72,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"FROCKS, Medium, white Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (25pcs/case)",,,,,cs,,,,,,,,10,2/19/2012,6/19/2012,,13382.72,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"FROCKS, Small, white Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (25pcs/case)",,,,,cs,,,,,,,,29,2/20/2012,6/20/2012,,13120.14,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Generator,,,,,Unit,,,,,,,,2,2/21/2012,6/21/2012,,37725,PHP,JICA (RN 08-06-007),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Generator, Model JD3800/E",,,,,unit,,,,,,,,77,2/22/2012,6/22/2012,,17517.26,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Glass louvre  5mmx100x1215mm ,,,,,sets,,,,,,,,1053,2/23/2012,6/23/2012,,599.78,PHP,China (RN 07-11-013,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Glass louvre 5mmx100x860mm,,,,,sets,,,,,,,,290,2/24/2012,6/24/2012,,539.52,PHP,China (RN 07-11-013,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Glass, plastic, drinking, 340ml capacity",,,,,pcs,,,,,,,,1952,2/25/2012,6/25/2012,,6.9,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"GLOVES, Kavlar Shell with blue dipped latex, Size 8""",,,,,pairs,,,,,,,,384,2/26/2012,6/26/2012,,10,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"GLOVES, Kavlar Shell with blue dipped latex, Size 9""",,,,,pairs,,,,,,,,2080,2/27/2012,6/27/2012,,10,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"GOWN, Universal,  Blue, Full Cover w/ Banded Ties, Elastic Wrist (50pcs/case)",,,,,cs,,,,,,,,50,2/28/2012,6/28/2012,,11247.67,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"HYDRATION SYSTEM, Platypus Big Zip II, 1.8 Liters Capacity",,,,,sets,,,,,,,,100,2/29/2012,6/29/2012,,1000,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"HYDRATION SYSTEM, Platypus, 2.0 Liters Capacity",,,,,sets,,,,,,,,998,3/1/2012,6/30/2012,,1200,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"HYDRATION SYSTEM, Platypus, Hoser,  3.0 Liters Capacity",,,,,sets,,,,,,,,128,3/2/2012,7/1/2012,,1500,PHP,Second Harvest Japan,,,,
NROC Warehouse B ,Warehouse B ,,Personal Hygiene,,Hygiene Kit bag,,,,,pcs,,,,,,,,151,3/3/2012,7/2/2012,,0,PHP,UNICEF,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"INFECTION PROTECTION KIT (composed of: 7pcs N95 Mask, 10pcs Powdered free synthetic gloves & 7 pcs Sanitary wipes) 12packs/case",,,,,pck,,,,,,,,2176,3/4/2012,7/3/2012,,245.95,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"INFLATABLE MATTRESS, Therma Rest, Medium Lite",,,,,pcs,,,,,,,,20,3/5/2012,7/4/2012,,3437.65,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Jug, water, plastic with handle & faucet (5 gallons capacity) blue",,,,,pcs,,,,,,,,9000,3/6/2012,7/5/2012,,132,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Junction Box ,,,,,pcs,,,,,,,,300,3/7/2012,7/6/2012,,99,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Kaldero (iron kettle), family size",,,,,pcs,,,,,,,,2056,3/8/2012,7/7/2012,,229,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Kaldero, big,  for community kitchen",,,,,pcs,,,,,,,,62,3/9/2012,7/8/2012,,2500,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Kawa, big, for community kitchen",,,,,pcs,,,,,,,,80,3/10/2012,7/9/2012,,1286,PHP,Emmaiah Mktg,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Laddle, aluminum, jumbo",,,,,pcs,,,,,,,,85,3/11/2012,7/10/2012,,45,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Laddle, aluminum, regular size",,,,,pcs,,,,,,,,2650,3/12/2012,7/11/2012,,19.68,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,Laddles and stirrer,,,,,pcs,,,,,,,,151,3/13/2012,7/12/2012,,0,PHP,UNICEF,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Laminated sacks, 8ftx100m",,,,,rolls,,,,,,,,900,3/14/2012,7/13/2012,,2658.88,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Mats, plastic, 72x80, family size",,,,,pcs,,,,,,,,5755,3/15/2012,7/14/2012,,154,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Mosquito Net, nylon, super extra, asst color1",,,,,pcs,,,,,,,,1598,3/16/2012,7/15/2012,,188.88,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Mosquito Net, nylon, super extra, asst color2",,,,,pcs,,,,,,,,6500,3/17/2012,7/16/2012,,190,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Mosquito Net, nylon, super extra, asst color3",,,,,pcs,,,,,,,,10000,3/18/2012,7/17/2012,,178.88,PHP,Lokal Industries,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Noodles, 55gx72pcs",,,,,cs,,,,,,,,2,3/19/2012,7/18/2012,,468,PHP,Ms. Santamira,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Paint, Acrylic Emulsion (18liters/can)",,,,,cans,,,,,,,,15,3/20/2012,7/19/2012,,1350,PHP,"Phil. Consulate Jeddah, Saudi (RN 2010-07-005)",,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Panty, ladies 1packx6pcs/pack (S-25packsx6pcs = 150pcs; M-23packsx6pcs = 138pcs; L-13packsx6=78pcs; XL-4packsx6=24pcs)",,,,,box,,,,,,,,1,3/21/2012,7/20/2012,,11700,PHP,Winace Holding Company,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Plate, stainless",,,,,pcs,,,,,,,,88,3/22/2012,7/21/2012,,0,PHP,UNICEF,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Protective suit,,,,,pcs,,,,,,,,744,3/23/2012,7/22/2012,,1000,PHP,China (RN 07-06-007),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Cap, 2ﾔ ",,,,,pcs,,,,,,,,1220,3/24/2012,7/23/2012,,15,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Cap, 4ﾔ ",,,,,pcs,,,,,,,,1340,3/25/2012,7/24/2012,,40,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Coupling, ﾽﾔ ",,,,,pcs,,,,,,,,1350,3/26/2012,7/25/2012,,20,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Coupling, 2ﾔ ",,,,,pcs,,,,,,,,1170,3/27/2012,7/26/2012,,30,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Coupling, 4ﾔ ",,,,,pcs,,,,,,,,1292,3/28/2012,7/27/2012,,40,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, ﾽﾔ X 90 ﾰ ",,,,,pcs,,,,,,,,1300,3/29/2012,7/28/2012,,30,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 2ﾔ X 45 ﾰ ",,,,,pcs,,,,,,,,1160,3/30/2012,7/29/2012,,50,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 2ﾔ X 90 ﾰ ",,,,,pcs,,,,,,,,1214,3/31/2012,7/30/2012,,80,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 4ﾔ X 45 ﾰ ",,,,,pcs,,,,,,,,1220,4/1/2012,7/31/2012,,120,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Elbow, 4ﾔ X 90 ﾰ ",,,,,pcs,,,,,,,,1274,4/2/2012,8/1/2012,,150,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Female Adaptor, 1/2ﾔ ",,,,,set,,,,,,,,1350,4/3/2012,8/2/2012,,15,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Holder, ﾽﾔ ",,,,,pcs,,,,,,,,1350,4/4/2012,8/3/2012,,20,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Pipe, 1/2ﾔ Diameter",,,,,pcs,,,,,,,,21850,4/5/2012,8/4/2012,,175,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Pipe, 2ﾔ Diameter",,,,,pcs,,,,,,,,3310,4/6/2012,8/5/2012,,300,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Pipe, 4ﾔ Diameter ",,,,,pcs,,,,,,,,447,4/7/2012,8/6/2012,,400,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC TEE, ﾽﾔ ",,,,,pcs,,,,,,,,1330,4/8/2012,8/7/2012,,40,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC TEE, 2ﾔ ",,,,,pcs,,,,,,,,1210,4/9/2012,8/8/2012,,80,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC TEE, 4ﾔ",,,,,pcs,,,,,,,,1250,4/10/2012,8/9/2012,,120,PHP,China (RN 07-12-015),,,,
NROC Warehouse A,Warehouse A,,Food Items,,Rice,,,,,kgs,,,,,,,,5,4/11/2012,8/10/2012,,27.5,PHP,"Vox Dei Play & Learn Center, Imus Cavite",,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Rice and Soy Meal, 450g",,,,,pck,,,,,,,,5000,4/12/2012,8/11/2012,,50,PHP,Second Harvest Japan,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Rice, NFA, 50kilos/sack",,,,,kgs,,,,,,,,32229,4/13/2012,8/12/2012,,27.5,PHP,NFA Visayas,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Sardines (100tins/box) 155g, Family's Brand",,,,,tins,,,,,,,,175044,4/14/2012,8/13/2012,,12.5,PHP,Universal Canning Inc.,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Sardines (100tins/box) 155g, Ligo Brand",,,,,tins,,,,,,,,200000,4/15/2012,8/14/2012,,11.93,PHP,Puregold Price Club,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Sardines (100tins/box) 155g, Master Brand",,,,,tins,,,,,,,,300000,4/16/2012,8/15/2012,,11.93,PHP,Puregold Price Club,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SELF-INFLATING MATTRESS, Therma Rest",,,,,pcs,,,,,,,,11,4/17/2012,8/16/2012,,3500,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Shelter box,,,,,set,,,,,,,,15,4/18/2012,8/17/2012,,78700,PHP,Jordan (RN 09-11-010),,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SHOE COVER, Universal, blue, heat sealed seam (150pairs/case)",,,,,cs,,,,,,,,66,4/19/2012,8/18/2012,,2797.27,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SHOE COVER, Universal, medium blue, fluid impervious , heat sealed seam (150pairs/case)",,,,,cs,,,,,,,,10,4/20/2012,8/19/2012,,4006.22,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SHOE COVER, Universal, white, heat sealed seam (150pairs/case)",,,,,cs,,,,,,,,10,4/21/2012,8/20/2012,,2797.73,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SHOE COVER, Xlarge blue, heat sealed seam (150pairs/case)",,,,,cs,,,,,,,,31,4/22/2012,8/21/2012,,2797.73,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SHOE COVER, XLarge, medium blue, fluid impervious, heat sealed seam (150pairs/case)",,,,,cs,,,,,,,,21,4/23/2012,8/22/2012,,4006.22,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SHOE COVER, XLarge, white, heat sealed seam (150pairs/case)",,,,,cs,,,,,,,,63,4/24/2012,8/23/2012,,2797.73,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"SLEEVE PROTECTOR, Xlarge, Yellow, Sonic Welded, Tunneled elastic at both ends (100pairs/case)",,,,,cs,,,,,,,,50,4/25/2012,8/24/2012,,2683.42,PHP,Second Harvest Japan,,,,
NROC Warehouse B ,Warehouse B ,,Personal Hygiene,,"Soap, bath, Safeguard, 25g",,,,,pcs,,,,,,,,360,4/26/2012,8/25/2012,,8,PHP,UNICEF,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Solar Panel Model#F0003ww. Ready Set Kit,,,,,set,,,,,,,,42,4/27/2012,8/26/2012,,2500,PHP,Second Harvest Japan,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Soup Mix, Dried Vegetables (127kilos)",,,,,barrel,,,,,,,,1,4/28/2012,8/27/2012,,12700,PHP,Second Harvest Japan,,,,
