Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC A WAREHOUSE,,,Food Items,,"Macaroni Pasta, La Casa, 300g",,,,,pack,,,,,,,,3,5/18/2012,6/1/2013,,24,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Macaroni Pasta, 400g",,,,,pack,,,,,,,,12,5/18/2012,3/1/2013,,27,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Macaroni Pasta, 500g",,,,,pack,,,,,,,,6,5/18/2012,7/1/2013,,33,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Macaroni, Royal Salad, 400g",,,,,pack,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Mackerel, Saba, 155g",,,,,tin,,,,,,,,1,9/3/2012,,,13.25,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Mackerel, Hokkai, 155g",,,,,tin,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Meat Loaf, Argentina, 170g",,,,,tin,,,,,,,,3,9/3/2012,,,17.9,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Meat Loaf, Argentina, 150g",,,,,tin,,,,,,,,1,9/3/2012,,,15.9,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Milk, Anchor Family, 300g",,,,,pack,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Milk, Alaska Evaporada, 370ml",,,,,pack,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Milk, Bear Brand, Swak Pack, 33g",,,,,pcs,,,,,,,,8,8/8/2012,,,,PHP,Fabielyn Lanuza & Mary Jonley Bargarita,,,,
